MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_軍団戦力: 軍團戰力
MID_GMAP_部隊数: 部隊數
MID_GMAP_入る: 進入
MID_GMAP_メニュー: 選單
MID_GMAP_移動: 移動
MID_GMAP_戦闘警告: 有敵方部隊，要戰鬥嗎？
MID_GMAP_侵入警告: $a要進入$a0嗎？
MID_GMAP_増援通知: $a$a1出現在\n$a0了！
MID_GMAP_COMMENT_ラムの村: 位於瓦倫西亞陸地\n南邊的邊境小村。
MID_GMAP_COMMENT_ラムの林: 草木繁盛的森林。\n有一條狹窄且\n幽靜的道路\n連接到拉姆村。
MID_GMAP_COMMENT_盗賊の森: 林蔭蔽天，\n昏暗的森林。\n近幾年經常有盜賊出沒，\n想穿過森林裡的道路，\n將會伴隨著危險。
MID_GMAP_COMMENT_盗賊のほこら: 天然形成的洞窟，\n經過加工後，\n成為祭祀\n女神美拉的祠堂。\n近幾年已經變成了\n盜賊的聚集地。
MID_GMAP_COMMENT_ラムの谷: 阻隔了南索菲亞平原\n和索菲亞的南端，\n宛如天然堡壘般的\n地方。\n道路狹窄，\n險惡的山路接連不斷。
MID_GMAP_COMMENT_南の砦: 一處老舊的戰鬥堡壘。\n是為了加強索菲亞\n南部的防禦而建造。\n規模雖小，\n卻樸質又兼顧實戰性。
MID_GMAP_COMMENT_南の砦内部: 一處老舊的戰鬥堡壘。\n是為了加強索菲亞\n南部的防禦而建造。\n規模雖小，\n卻樸質又兼顧實戰性。
MID_GMAP_COMMENT_ソフィアの南１: 占地廣大的廣闊\n南索菲亞平原的南邊。\n有連接到索菲亞城堡的\n道路。
MID_GMAP_COMMENT_ソフィアの南２: 占地廣大的廣闊\n南索菲亞平原的北邊。\n有連接到索菲亞城堡的\n道路。
MID_GMAP_COMMENT_解放軍のアジト: 建造在地底下，\n占地遼闊的墓穴。\n葬在這裡的人\n不只有平民，\n甚至有王公貴族。
MID_GMAP_COMMENT_ソフィアの門: 防守索菲亞城堡南邊的\n巨大城門。\n城門本身就具有\n堡壘的功能，\n擁有很高的防禦力，\n可以抵擋外部的攻擊。
MID_GMAP_COMMENT_ソフィア城: 可說是索菲亞王國\n中樞的城堡。\n城牆內建有巨大的市鎮。\n這是座造得富麗堂皇、\n極其奢侈的城堡。
MID_GMAP_COMMENT_修道院: 諾瓦島的修道院。\n院內栽培了葡萄等\n多種農作物，\n成立了一套\n自給自足的\n體系。
MID_GMAP_COMMENT_ノーヴァの墓地: 諾瓦島居民死後\n埋葬的墓地。\n近幾年瀰漫了\n詭異的瘴氣，\n成為魔物遍布的\n可怕場所。
MID_GMAP_COMMENT_ノーヴァの港: 諾瓦島上的港口城鎮。\n小歸小，但有不少\n鬧市和攤販，\n也算是繁盛。
MID_GMAP_COMMENT_海１: 連接諾瓦島和\n索菲亞本土的航路。\n近幾年海盜頻繁出沒，\n對船隻航行已經\n造成了威脅。
MID_GMAP_COMMENT_海２: 連接諾瓦島和\n索菲亞本土的航路。\n近幾年海盜頻繁出沒，\n對船隻航行已經\n造成了威脅。
MID_GMAP_COMMENT_海賊の砦: 這是古代為了\n防禦海盜而\n興建的堡壘，\n如今卻遭到佔領，\n成了海盜的\n根據地。
MID_GMAP_COMMENT_海賊の砦内部: 這是古代為了\n防禦海盜而\n興建的堡壘，\n如今卻遭到佔領，\n成了海盜的\n根據地。
MID_GMAP_COMMENT_海３: 連接諾瓦島和\n索菲亞本土的航路。\n近幾年海盜頻繁出沒，\n對船隻航行已經\n造成了威脅。
MID_GMAP_COMMENT_海のほこら: 人們利用位於\n諾瓦海峽的小島上，\n原本就存在的洞窟，\n改造成祭祀女神的\n祭壇。\n造訪者很少。
MID_GMAP_COMMENT_海のほこら内部: 人們利用位於\n諾瓦海峽的小島上，\n原本就存在的洞窟，\n改造成祭祀女神的\n祭壇。\n造訪者很少。
MID_GMAP_COMMENT_海４: 連接諾瓦島和\n索菲亞本土的航路。\n近幾年海盜頻繁出沒，\n對船隻航行已經\n造成了威脅。
MID_GMAP_COMMENT_海５: 連接諾瓦島和\n索菲亞本土的航路。\n近幾年海盜頻繁出沒，\n對船隻航行已經\n造成了威脅。
MID_GMAP_COMMENT_ソフィアの港: 索菲亞王國最大的\n貿易港。\n人口眾多，十分興盛。\n極其偶爾會有\n來自其他陸地的船\n入港。
MID_GMAP_COMMENT_ソフィアの西: 從索菲亞城堡\n到索菲亞港的\n狹窄山路的中點處。
MID_GMAP_COMMENT_ソフィアの海岸: 索菲亞東部直達\n美拉神殿的商路。\n沿著海岸線的路上，\n建造了簡易的\n堡壘。
MID_GMAP_COMMENT_山の墓場: 在山中建成的墓地。\n近幾年瀰漫了\n詭異的瘴氣，\n成為魔物遍布的\n可怕場所。
MID_GMAP_COMMENT_山の村: 在山谷建成的聚落。\n頻繁遭到盜賊襲擊，\n因而飽受威脅。
MID_GMAP_COMMENT_ミラへの谷: 在通往美拉神殿的路上，\n彷彿要阻塞道路般而\n存在的峽谷。\n對前往神殿的朝聖者\n而言，是一種考驗。
MID_GMAP_COMMENT_竜のほこら: 寬廣的天然洞窟。\n傳說裡面有可以讓人\n起死回生的水井，\n更有龍在守護\n那口水井。
MID_GMAP_COMMENT_砂漠の砦: 索菲亞王國在很久以前\n建造的堡壘，\n現在已遭到遺棄。\n因為沙漠特有的氣候，\n正逐漸風化\n並崩壞。
MID_GMAP_COMMENT_砂漠の砦内部: 索菲亞王國在很久以前\n建造的堡壘，\n現在已遭到遺棄。\n因為沙漠特有的氣候，\n正逐漸風化\n並崩壞。
MID_GMAP_COMMENT_砂漠の北: 橫貫沙漠的道路的\n北邊路線。\n炎熱和沙塵暴會\n無情地奪走旅人的體力。
MID_GMAP_COMMENT_砂漠の南: 橫貫沙漠的道路的\n南邊路線。\n炎熱和沙塵暴會\n無情地奪走旅人的體力。
MID_GMAP_COMMENT_ギースの砦: 在沙漠東部，\n索菲亞東海岸上\n建造而成的古老堡壘。\n吉斯把這裡當作\n據點在使用。
MID_GMAP_COMMENT_ギースの砦内部: 在沙漠東部，\n索菲亞東海岸上\n建造而成的古老堡壘。\n吉斯把這裡當作\n據點在使用。
MID_GMAP_COMMENT_ミラ神殿: 為女神而建造的神殿，\n也是美拉信仰的\n中心。\n神殿聳立在這，\n優美而莊嚴的模樣，\n被譽為是索菲亞的至寶。
MID_GMAP_COMMENT_ミラ神殿内部: 為女神而建造的神殿，\n也是美拉信仰的\n中心。\n神殿聳立在這，\n優美而莊嚴的模樣，\n被譽為是索菲亞的至寶。
MID_GMAP_COMMENT_北の門: 索菲亞城堡的北門。\n和南門一樣\n牢不可破。
MID_GMAP_COMMENT_ソフィアの北: 位於索菲亞城堡\n北邊的平原。\n這裡是索菲亞西邊\n商路的起點，\n修整過的道路一直\n連接到水閘。
MID_GMAP_COMMENT_ソフィアの森１: 索菲亞北部連綿不絕、\n遼闊的大森林地帶的\n入口。
MID_GMAP_COMMENT_森の村: 因為住在附近\n森林村落的居民\n砍伐了許多樹木，\n而形成有些開闊的場所。
MID_GMAP_COMMENT_森の村内部: 在森林深處開拓土地，\n彷彿是要躲避世人般而\n建成的村落。\n因為頻繁遭到掠奪，\n居民已經疲憊不堪。
MID_GMAP_COMMENT_ドゼーの砦: 宰相多哲的根據地。\n是座巨大堅固的堡壘。\n聽說為建造這座建築物，\n多哲投入了\n積蓄至今的龐大\n私人財產。
MID_GMAP_COMMENT_ドゼーの砦内部: 宰相多哲的根據地。\n是座巨大堅固的堡壘。\n聽說為建造這座建築物，\n多哲投入了\n積蓄至今的龐大\n私人財產。
MID_GMAP_COMMENT_ソフィアの森２: 索菲亞北部連綿不絕、\n遼闊的大森林地帶的\n入口。
