announce.msbt
AnnounceEmpty	目前暫無通知
AnnHead_01	飾品商店開幕
AnnBody_01	奇諾比奧鎮的飾品商店開幕了。
AnnHead_02	飾品打五折
AnnBody_02	大特賣！能在戰鬥中派上用場的飾品價格打五折。
AnnHead_02_1	飾品打二折
AnnBody_02_1	大特賣！能在戰鬥中派上用場的飾品價格打二折。
AnnHead_02_2	飾品打一折
AnnBody_02_2	大特賣！能在戰鬥中派上用場的飾品價格打一折。
AnnHead_03	戰鬥研究所開幕
AnnBody_03	奇諾比奧鎮的戰鬥研究所開幕了。
AnnHead_07	拼板正解顯示機完成
AnnBody_07	戰鬥輔助功能「拼板正解顯示機」完成了。請前往奇諾比奧鎮的戰鬥研究所。
AnnHead_08	計時器自動延長機完成
AnnBody_08	戰鬥輔助功能「計時器自動延長機」完成了。請前往奇諾比奧鎮的戰鬥研究所。
AnnHead_09	感應器研究所開幕
AnnBody_09	郊遊之路的感應器研究所開幕了。
AnnHead_10	透明裝完成
AnnBody_10	新感應器「透明裝」完成了。請前往郊遊之路的感應器研究所。
AnnHead_11	隱藏磚塊雷達完成
AnnBody_11	新感應器「隱藏磚塊雷達」完成了。請前往郊遊之路的感應器研究所。
AnnHead_15	船的新型引擎完成
AnnBody_15	船的新型引擎完成了。請前往奇諾比奧鎮的港口。
AnnHead_16	寶物模型的展示場
AnnBody_16	得到的「寶物模型」將展示在奇諾比奧鎮的大博物館。
AnnHead_19	碧姬公主號的乘客們回到船上了
AnnBody_19	在各個小島避難的碧姬公主號乘客們，全都回到船上了。
AnnHead_21	達成戰鬥之王
AnnBody_21	達成獎盃「戰鬥之王」。請前往大博物館領取獎盃。
AnnHead_22	達成金幣大亨
AnnBody_22	達成獎盃「金幣大亨」。請前往大博物館領取獎盃。
AnnHead_23	達成？磚塊愛好者
AnnBody_23	達成獎盃「？磚塊愛好者」。請前往大博物館領取獎盃。
AnnHead_24	達成釣魚專家
AnnBody_24	達成獎盃「釣魚專家」。請前往大博物館領取獎盃。
AnnHead_25	達成擂台冠軍
AnnBody_25	達成獎盃「擂台冠軍」。請前往大博物館領取獎盃。
AnnHead_26	達成拼板訓練大師
AnnBody_26	達成獎盃「拼板訓練大師」。請前往大博物館領取獎盃。
AnnHead_27	達成限時訓練大師
AnnBody_27	達成獎盃「限時訓練大師」。請前往大博物館領取獎盃。
AnnHead_28	達成泛舟達人
AnnBody_28	達成獎盃「泛舟達人」。請前往大博物館領取獎盃。
AnnHead_29	達成手裏劍高手
AnnBody_29	達成獎盃「手裏劍高手」。請前往大博物館領取獎盃。
AnnHead_30	達成天空的問答王
AnnBody_30	達成獎盃「天空的問答王」。請前往大博物館領取獎盃。
AnnHead_31	達成藝術收藏家
AnnBody_31	達成獎盃「藝術收藏家」。請前往大博物館領取獎盃。
AnnHead_32	達成摺紙奇諾比奧收藏家
AnnBody_32	達成獎盃「摺紙奇諾比奧收藏家」。請前往大博物館領取獎盃。
AnnHead_33	達成寶物模型收藏家
AnnBody_33	達成獎盃「寶物模型收藏家」。請前往大博物館領取獎盃。
AnnHead_34	達成摺紙角色收藏家
AnnBody_34	達成獎盃「摺紙角色收藏家」。請前往大博物館領取獎盃。
AnnHead_35	達成唱片收藏家
AnnBody_35	達成獎盃「唱片收藏家」。請前往大博物館領取獎盃。
AnnHead_37	魚拓的展示場所
AnnBody_37	釣上來的魚的魚拓將展示在大博物館。
AnnHead_38	大博物館收藏
AnnBody_38	大博物館中部分收藏的區域增加了。以完成大博物館為目標，繼續冒險吧！
battle.msbt
BtlGuide_CmdInfo	{[0001|1200]}{[0200]}{size[3200]}行動{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfo	{[0001|1200]}{[0200]}{size[3200]}操作圓環{size[6400]}\x0f\x02\0{[0001|ffff]}
BtlGuide_RingInfoValue	{[0001|1400]}{[0304]}×{[0300|00000000]}\x0f\x03\x04{[0001|ffff]}
BtlGuide_MeterButton_Time	{size[4100]} 使用金幣延長{size[6400]}
BtlGuide_MeterButton_Hint	{size[4100]} 提示{size[6400]}
BtlGuide_MeterButton_LaboPass	{size[4100]} 跳過{size[6400]}
BtlGuide_MeterButton_QuizEnd	{size[5000]} 結束{size[6400]}
BtlGuide_MeterButton_Cheer	{size[4100]} 支援{size[6400]}
BtlGuide_MeterButton_Escape	{size[4100]} 逃跑{size[6400]}
BtlGuide_MeterButton_LaboExit	{size[4100]} 退出{size[6400]}
BtlGuide_MeterButton_LaboGiveUp	{size[4100]} 放棄{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Puzzle	{size[4b00]}{[0300|00000000]}↕ 選擇行動　↔ 選擇敵人　 視角　 確定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku	{size[4b00]}{[0300|00000000]}↕ 選擇行動　 確定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku2	{size[4b00]}{[0300|00000000]}↕ 選擇行動　 返回　 確定{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_DecideCmd	{size[4b00]}{[0300|00000000]} 退出{size[6400]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Menu_Weapon	{size[4b00]}{[0300|00000000]} 選擇　 返回　 確定{size[6400]}
BtlGuide_KeyGuideBar_GodHandOperation	{size[4b00]}{[0300|00000000]}{size[6400]}{size[6400]}{size[6400]}{size[4b00]} 傾斜操作神祇之手　 還原手的位置  {size[6400]}
BtlGuide_KeyGuideBar_GodHandOperation_Stick	{size[4b00]}{[0300|00000000]} 操作神祇之手{size[6400]}
BtlGuide_KeyGuideBar_RingOperation	{size[4b00]}{[0300|00000000]} 切換轉動／滑動　 選擇圓環　 視角　 確定  {size[6400]}
