MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_軍団戦力: 军团战力
MID_GMAP_部隊数: 部队数
MID_GMAP_入る: 进入
MID_GMAP_メニュー: 菜单
MID_GMAP_移動: 移动
MID_GMAP_戦闘警告: 有敌方部队，要战斗吗？
MID_GMAP_侵入警告: $a要进入$a0吗？
MID_GMAP_増援通知: $a$a1出现在\n$a0了！
MID_GMAP_COMMENT_ラムの村: 位于瓦伦西亚大陆\n南边的边境小村。
MID_GMAP_COMMENT_ラムの林: 草木繁盛的森林。\n有一条狭窄且\n幽静的道路\n连接至拉姆村。
MID_GMAP_COMMENT_盗賊の森: 林荫蔽天，\n昏暗的森林。\n近几年经常有盗贼出没，\n想穿过森林里的道路，\n将会伴随着危险。
MID_GMAP_COMMENT_盗賊のほこら: 天然形成的洞窟，\n经过加工后，\n成为祭祀\n女神米拉的祠堂。\n近几年已沦为\n盗贼的聚集地。
MID_GMAP_COMMENT_ラムの谷: 阻隔了南索菲亚平原\n和索菲亚的南端，\n宛如天然堡垒般的\n地方。\n道路狭窄，\n险恶的山路接连不断。
MID_GMAP_COMMENT_南の砦: 一处老旧的战斗堡垒。\n是为了加强索菲亚\n南部的防御而建造。\n规模虽小，\n却朴质又兼顾实战性。
MID_GMAP_COMMENT_南の砦内部: 一处老旧的战斗堡垒。\n是为了加强索菲亚\n南部的防御而建造。\n规模虽小，\n却朴质又兼顾实战性。
MID_GMAP_COMMENT_ソフィアの南１: 占地广大的\n南索菲亚平原南端。\n有连接到索菲亚城堡的\n道路。
MID_GMAP_COMMENT_ソフィアの南２: 占地广大的\n南索菲亚平原北部。\n有连接到索菲亚城堡的\n道路。
MID_GMAP_COMMENT_解放軍のアジト: 建造在地下，\n占地辽阔的墓穴。\n葬在这里的人\n不只有平民，\n甚至有王公贵族。
MID_GMAP_COMMENT_ソフィアの門: 防守索菲亚城堡南边的\n巨大城门。\n城门本身就具有\n堡垒的功能，\n拥有很高的防御力，\n可以抵挡外部的攻击。
MID_GMAP_COMMENT_ソフィア城: 可说是索菲亚王国\n中枢的城堡。\n城墙内建有巨大的市镇。\n这是座造得富丽堂皇、\n极其奢侈的城堡。
MID_GMAP_COMMENT_修道院: 诺瓦岛的修道院。\n院内栽培了葡萄等\n多种农作物，\n成立了一套\n自给自足的\n体系。
MID_GMAP_COMMENT_ノーヴァの墓地: 诺瓦岛居民死后\n埋葬的墓地。\n近几年弥漫着\n诡异的瘴气，\n成为魔物遍布的\n可怕场所。
MID_GMAP_COMMENT_ノーヴァの港: 诺瓦岛上的港口城镇。\n小归小，但有不少\n店家和摊贩，\n也算是繁盛。
MID_GMAP_COMMENT_海１: 连接诺瓦岛和\n索菲亚本土的航路。\n近几年海盗频繁出没，\n对船只航行已经\n造成了威胁。
MID_GMAP_COMMENT_海２: 连接诺瓦岛和\n索菲亚本土的航路。\n近几年海盗频繁出没，\n对船只航行已经\n造成了威胁。
MID_GMAP_COMMENT_海賊の砦: 这是古代为了\n防御海盗而\n兴建的堡垒，\n如今却被占领，\n成了海盗的\n根据地。
MID_GMAP_COMMENT_海賊の砦内部: 这是古代为了\n防御海盗而\n兴建的堡垒，\n如今却被占领，\n成了海盗的\n根据地。
MID_GMAP_COMMENT_海３: 连接诺瓦岛和\n索菲亚本土的航路。\n近几年海盗频繁出没，\n对船只航行已经\n造成了威胁。
MID_GMAP_COMMENT_海のほこら: 人们利用位于\n诺瓦海峡的小岛上，\n原本就存在的洞窟，\n改造成祭祀女神的\n祭坛。\n造访者很少。
MID_GMAP_COMMENT_海のほこら内部: 人们利用位于\n诺瓦海峡的小岛上，\n原本就存在的洞窟，\n改造成祭祀女神的\n祭坛。\n造访者很少。
MID_GMAP_COMMENT_海４: 连接诺瓦岛和\n索菲亚本土的航路。\n近几年海盗频繁出没，\n对船只航行已经\n造成了威胁。
MID_GMAP_COMMENT_海５: 连接诺瓦岛和\n索菲亚本土的航路。\n近几年海盗频繁出没，\n对船只航行已经\n造成了威胁。
MID_GMAP_COMMENT_ソフィアの港: 索菲亚王国最大的\n贸易港。\n人口众多，十分兴盛。\n偶尔会有\n来自其他大陆的船\n进港。
MID_GMAP_COMMENT_ソフィアの西: 从索菲亚城堡\n到索菲亚港的\n狭窄山路的中点处。
MID_GMAP_COMMENT_ソフィアの海岸: 索菲亚东部直达\n米拉神殿的商路。\n沿着海岸线的路上，\n建造了简易的\n堡垒。
MID_GMAP_COMMENT_山の墓場: 在山中建成的墓地。\n近几年弥漫着\n诡异的瘴气，\n成为魔物遍布的\n可怕场所。
MID_GMAP_COMMENT_山の村: 在山谷建成的聚落。\n频繁遭到盗贼袭击，\n因而饱受威胁。
MID_GMAP_COMMENT_ミラへの谷: 在通往米拉神殿的路上，\n仿佛要阻塞道路般而\n存在的峡谷。\n对前往神殿的朝圣者\n而言，是一种考验。
MID_GMAP_COMMENT_竜のほこら: 宽广的天然洞窟。\n传说里面有可以让人\n起死回生的水井，\n更有龙在守护\n那口水井。
MID_GMAP_COMMENT_砂漠の砦: 索菲亚王国在很久以前\n建造的堡垒，\n现在已被遗弃。\n因为沙漠特有的气候，\n正逐渐风化\n并崩坏。
MID_GMAP_COMMENT_砂漠の砦内部: 索菲亚王国在很久以前\n建造的堡垒，\n现在已被遗弃。\n因为沙漠特有的气候，\n正逐渐风化\n并崩坏。
MID_GMAP_COMMENT_砂漠の北: 横贯沙漠道路的\n北边路线。\n炎热和沙尘暴会\n无情地夺走旅人的体力。
MID_GMAP_COMMENT_砂漠の南: 横贯沙漠道路的\n南边路线。\n炎热和沙尘暴会\n无情地夺走旅人的体力。
MID_GMAP_COMMENT_ギースの砦: 在沙漠东部，\n索菲亚东海岸上\n建造而成的古老堡垒。\n吉斯把这里作为\n据点使用。
MID_GMAP_COMMENT_ギースの砦内部: 在沙漠东部，\n索菲亚东海岸上\n建造而成的古老堡垒。\n吉斯把这里作为\n据点使用。
MID_GMAP_COMMENT_ミラ神殿: 为女神而建造的神殿，\n也是米拉信仰的\n中心。\n神殿耸立在这里，\n优美而庄严的模样，\n被誉为是索菲亚的至宝。
MID_GMAP_COMMENT_ミラ神殿内部: 为女神而建造的神殿，\n也是米拉信仰的\n中心。\n神殿耸立在这里，\n优美而庄严的模样，\n被誉为是索菲亚的至宝。
MID_GMAP_COMMENT_北の門: 索菲亚城堡的北门。\n和南门一样\n牢不可破。
MID_GMAP_COMMENT_ソフィアの北: 位于索菲亚城堡\n北边的平原。\n这里是索菲亚西边\n商路的起点，\n修整过的道路一直\n连接到水闸。
MID_GMAP_COMMENT_ソフィアの森１: 在索菲亚北部连绵不绝、\n辽阔的大森林地带的\n入口。
MID_GMAP_COMMENT_森の村: 因为住在附近\n森林村落的居民\n大量砍伐树木，\n而形成的一小片开阔地。
MID_GMAP_COMMENT_森の村内部: 在森林深处开拓的土地上\n为避世而建的\n村落。\n因为频繁遭到掠夺，\n居民已经疲惫不堪。
MID_GMAP_COMMENT_ドゼーの砦: 宰相多哲的根据地。\n是座巨大坚固的堡垒。\n听说为建造这座建筑物，\n多哲投入了\n积蓄至今的庞大\n私人财产。
MID_GMAP_COMMENT_ドゼーの砦内部: 宰相多哲的根据地。\n是座巨大坚固的堡垒。\n听说为建造这座建筑物，\n多哲投入了\n积蓄至今的庞大\n私人财产。
MID_GMAP_COMMENT_ソフィアの森２: 在索菲亚北部连绵不绝、\n辽阔的大森林地带的\n出口。
MID_GMAP_COMMENT_森のほこら: 原本是远古时代\n某种建筑物\n的遗迹，\n但人们把这个空间，\n改造成了祭祀\n女神的祭坛。
MID_GMAP_COMMENT_森の北: 位于大森林地带\n北部的平原。\n商路仍绵延不断。
MID_GMAP_COMMENT_水門: 仿佛是堵在\n分隔大陆的峡谷出口\n一般的超大建筑物。\n储存的水由水闸\n调整流量后，\n会流向海洋和运河。
MID_GMAP_COMMENT_水門内部: 仿佛是堵在\n分隔大陆的峡谷出口\n一般的超大建筑物。\n储存的水由水闸\n调整流量后，\n会流向海洋和运河。
MID_GMAP_COMMENT_死人の沼: 有着一望无际的毒沼，\n阻挡他人来访的\n死亡大地。\n周围飘散着刺鼻的\n腐臭味。
MID_GMAP_COMMENT_沼の墓地: 遭到毒沼侵蚀的\n恶心墓地。\n据说会有恐怖的\n魔物出没。
MID_GMAP_COMMENT_ドルクの砦: 建造在毒沼之中，\n气氛诡异的堡垒。\n是据说能召唤死龙的\n多玛教团祈祷师――\n多尔科的根据地。
MID_GMAP_COMMENT_ドルクの砦内部: 建造在毒沼之中，\n气氛诡异的堡垒。\n是据说能召唤死龙的\n多玛教团祈祷师――\n多尔科的根据地。
MID_GMAP_COMMENT_賢者の里: 一座隐密的村落，\n位于利盖尔东北部\n辽阔的迷失森林里。\n传说有伟大的贤者\n就在这里。
MID_GMAP_COMMENT_ドーマの門: 冠上神之名的巨大堡垒，\n建造位置简直就像是\n要堵住穿越了\n利盖尔帝国东边领地的\n街道。
MID_GMAP_COMMENT_ドーマの沼: 位于利盖尔帝国北边，\n被冠上了\n神之名的\n辽阔毒沼。
MID_GMAP_COMMENT_ドーマの塔: 多玛教团的根据地。\n为了某个目的，\n在古代建造而成、\n被冠上了神之名的\n巨塔。
MID_GMAP_COMMENT_国境: 索菲亚王国与\n利盖尔帝国的\n国界。\n利盖尔侧后方有一大片\n苍郁的针叶树林。
MID_GMAP_COMMENT_リゲルの森: 覆盖整个平原，\n苍郁的针叶树林。\n森林里总是光线昏暗，\n因此利盖尔的居民又\n称其为黑暗森林。
MID_GMAP_COMMENT_恐山: 这片大陆上最高的山，\n整个瓦伦西亚都可以\n一览无遗。\n散发出非比寻常的气氛，\n仿佛在\n阻挡活人进入。
MID_GMAP_COMMENT_恐山のほこら: 建造在恐山里，\n谜团重重的祠堂。\n路好像通到\n很深的地方，\n据说有无数的宝藏\n沉睡在那里。
MID_GMAP_COMMENT_ヌイババ館: 建造在恐山山顶，\n多玛教团妖术师\n奴伊巴巴的根据地。
MID_GMAP_COMMENT_ヌイババ館内部: 建造在恐山山顶，\n多玛教团妖术师\n奴伊巴巴的根据地。
MID_GMAP_COMMENT_リゲル平野: 在地形起伏剧烈的\n利盖尔帝国领地内，\n数量稀少的平原。
MID_GMAP_COMMENT_リゲルの村: 利盖尔领地内的村庄，\n盛产葡萄。\n村民利用这块土地的\n微凉气候和丘陵地带，\n开拓出辽阔的\n葡萄田。
MID_GMAP_COMMENT_リゲルの谷: 在龙之喷火口山脚下，\n一小块平坦的土地。
MID_GMAP_COMMENT_竜の火口: 位于利盖尔帝国西部\n领地上的火山地带。\n也被称为受诅咒的龙山，\n使得当地人畏惧\n这个地方。
MID_GMAP_COMMENT_リゲルの滝: 位于利盖尔帝国领土内，\n堪称瓦伦西亚大陆上\n最大的瀑布。\n瀑布的高低落差很大，\n水量也极多。
MID_GMAP_COMMENT_秘密のほこら: 像是要藏起来似地，\n建在利盖尔瀑布背面，\n位于谜团重重之处，\n鲜少有人知道\n这个地方。
MID_GMAP_COMMENT_要塞: 建造在半山腰上，\n易守难攻，\n固若金汤的要塞。\n从未被攻陷过，\n是利盖尔城堡的\n防卫要地。
MID_GMAP_COMMENT_リゲル城: 利用石山地形建造的\n城堡。\n就像是一座堡垒，\n建得朴实又具有实战性，\n整体气氛和优美的\n索菲亚城堡形成对比。
MID_GMAP_COMMENT_リゲル城内部: 利用石山地形建造的\n城堡。\n就像是一座堡垒，\n建得朴实又具有实战性，\n整体气氛和优美的\n索菲亚城堡形成对比。
MID_GMAP_COMMENT_アカネイア航路１: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_アカネイア航路２: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_アカネイア航路３: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_アカネイア航路４: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_アカネイア航路５: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_アカネイア航路６: 为了前往据说在\n瓦伦西亚大陆东边的\n阿卡奈亚大陆，\n而要经过的航路。
MID_GMAP_COMMENT_フリアの港: 人们聚集到对本领很有\n自信的英雄富丽雅身边，\n因而建成的边境港口。
MID_GMAP_COMMENT_テーベの地下迷宮: 过去魔道之力遍布的\n都市的巨大遗骸。\n经历数百年的\n长久时光，\n遗骸被埋在\n玛魔德特沙漠下，\n依然沉睡着。
MID_GMAP_SUB_思い出の味: 回忆里的味道
MID_GMAP_SUB_H_思い出の味: 接受了充满物欲的老人的委托，\n前往寻找过去\n在这座村子里酿造的\n“拉姆的葡萄酒”。
MID_GMAP_SUB_チーズの帝王: 乳酪的帝王
MID_GMAP_SUB_H_チーズの帝王: 接受了热爱乳酪的贵族的委托，\n要从大陆各处找来\n各式各样的乳酪。
MID_GMAP_SUB_甘いお菓子づくり: 制作甜点
MID_GMAP_SUB_H_甘いお菓子づくり: 接受了酒馆老板娘的委托，\n替她收集“面粉”、\n“蜂蜜”、“奶油”等，\n为孩子们烤饼干的材料。
MID_GMAP_SUB_おいしいひもの: 好吃的鱼干
MID_GMAP_SUB_H_おいしいひもの: 接受了热爱鱼类的大叔的委托，\n替他带来在山里很难获得的\n带鱼干。
MID_GMAP_SUB_美味なるものには: 带来美味的食料
MID_GMAP_SUB_H_美味なるものには: 接受了贵族的厨师的委托，\n为了做出世上最好吃的\n鱼料理让主人满意，\n替他带来“大衮鱼片”。
MID_GMAP_SUB_神の飲み物: 神的饮料
MID_GMAP_SUB_H_神の飲み物: 接受了大魔道士的条件，\n拿“药草糖浆”、\n“石像鬼的耳朵”、“骷髅油”和\n“多玛的青苔”等材料来，\n他就会帮忙制作琼浆玉液。
MID_GMAP_SUB_足りない歯車: 有缺漏的齿轮
MID_GMAP_SUB_H_足りない歯車: 接受了神经质的修女的委托，\n收集分散在大陆各处的\n“小齿轮”，\n修复米拉齿轮原本的功能。
MID_GMAP_SUB_逸品の油: 绝品的油
MID_GMAP_SUB_H_逸品の油: 接受了水闸守卫的委托，\n为了保养设备，\n替他带来“骷髅油”，\n并学会了“骷髅油”的采集方法。
MID_GMAP_SUB_サンゴを集めてくれ: 采集珊瑚来吧
MID_GMAP_SUB_H_サンゴを集めてくれ: 大商人阿莱西奥提出\n很划算的买卖，\n如果持有“珊瑚碎片”，\n他就会高价收购。
MID_GMAP_SUB_価値ある指輪: 有价值的戒指
MID_GMAP_SUB_H_価値ある指輪: 大商人阿莱西奥提出\n很划算的买卖，\n他可以便宜出让\n“珊瑚戒指”。
MID_GMAP_SUB_死の商人: 死之商人
MID_GMAP_SUB_H_死の商人: 大商人阿莱西奥提出\n很划算的买卖，\n如果持有“钢枪”，\n他就会高价收购。
MID_GMAP_SUB_酒場の裏メニュー: 酒馆的秘密菜单
MID_GMAP_SUB_H_酒場の裏メニュー: 只要给酒馆老板\n３根“仙灵草”，\n他就会帮忙调配珍贵的糖浆。
MID_GMAP_SUB_最強の盾: 最强的盾
MID_GMAP_SUB_H_最強の盾: 这座村里的铁匠提出条件，\n只要收集４片“龙的鳞片”，\n就会帮忙打造以最强而\n闻名的“龙盾”。
MID_GMAP_SUB_王家の秘宝: 王族的秘宝
