MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明的道具
MIID_無し: －－－－－
MIID_非公開_1: ？
MIID_非公開_2: ？？
MIID_非公開_3: ？？？
MIID_非公開_4: ？？？？
MIID_非公開_5: ？？？？？
MIID_非公開_6: ？？？？？？
MIID_非公開_7: ？？？？？？？
MIID_非公開_8: ？？？？？？？？
MIID_つるぎ: 劍
MIID_鉄の剣: 鐵劍
MIID_鋼の剣: 鋼劍
MIID_銀の剣: 銀劍
MIID_勇者の剣: 勇者之劍
MIID_暗黒の剣: 黑暗之劍
MIID_いかづちの剣: 雷之劍
MIID_聖なる剣: 聖劍
MIID_王家の剣: 王族之劍
MIID_ファルシオン: 法爾西昂
MIID_流星: 流星
MIID_黄金の短剣: 黃金短劍
MIID_ツヴァイハンダー: 雙手大劍
MIID_レディソード: 淑女劍
MIID_メリクルソード: 墨丘利劍
MIID_宝剣ソフィア: 索菲亞寶劍
MIID_イルウーン: 伊魯威
MIID_レイピア: 刺劍
MIID_やり: 槍
MIID_鉄の槍: 鐵槍
MIID_鋼の槍: 鋼槍
MIID_銀の槍: 銀槍
MIID_手やり: 投槍
MIID_聖なる槍: 聖槍
MIID_ナイトキラー: 騎士殺手
MIID_グラディウス: 古拉迪烏斯
MIID_太陽: 太陽
MIID_ドーマの槍: 多瑪槍
MIID_皇帝の槍: 皇帝槍
MIID_クリムヒルド: 克里姆希爾特
MIID_ロムファイア: 羅姆菲亞
MIID_サウニオン: 撒烏尼昂
MIID_おの: 斧
MIID_薪割り斧: 劈柴斧
MIID_デビルアクス: 惡魔之斧
MIID_ゆみ: 弓
MIID_鉄の弓: 鐵弓
MIID_鋼の弓: 鋼弓
MIID_銀の弓: 銀弓
MIID_聖なる弓: 聖弓
MIID_月光: 月光
MIID_パルティア: 帕提亞
MIID_ミラの弓: 美拉弓
MIID_長弓: 長弓
MIID_キラーボウ: 必殺弓
MIID_シャイニングボウ: 光之弓
MIID_神剣ファルシオン: 神劍法爾西昂
MIID_裏剣ファルシオン: 裏劍法爾西昂
MIID_ラグネル: 拉格內爾
MIID_封印の剣: 封印之劍
MIID_夜刀神: 夜刀神
MIID_錆びた剣: 生鏽的劍
MIID_錆びた槍: 生鏽的槍
MIID_錆びた弓: 生鏽的弓
MIID_錆びた盾: 生鏽的盾
MIID_錆びた斧: 生鏽的斧
MIID_錆びた指輪: 生鏽的戒指
MIID_毒の剣: 毒劍
MIID_毒の槍: 毒槍
MIID_毒の弓: 毒弓
MIID_毒の斧: 毒斧
MIID_爪: 爪
MIID_毒の爪: 毒爪
MIID_麻痺爪: 麻痺爪
MIID_牙: 牙
MIID_鎌: 鐮刀
MIID_骨剣: 骨劍
MIID_棍棒: 棍棒
MIID_体当たり: 衝撞
MIID_触手: 觸手
MIID_火のブレス: 火之吐息
MIID_水のブレス: 水之吐息
MIID_剛爪: 剛爪
MIID_邪竜のブレス: 邪龍吐息
MIID_革の盾: 革盾
MIID_鉄の盾: 鐵盾
MIID_鋼の盾: 鋼盾
MIID_リオン家の盾: 利昂家之盾
MIID_フーガ家の盾: 福格家之盾
MIID_銀の盾: 銀盾
MIID_聖なる盾: 聖盾
MIID_魔封じの盾: 封魔盾
MIID_竜の盾: 龍盾
MIID_皇帝の盾: 皇帝盾
MIID_ドーマの盾: 多瑪盾
MIID_王家の盾: 王族之盾
MIID_賢者の盾: 賢者之盾
