MESS_ARCHIVE_Decoration


Message Name: Message


MID_勲章取得: $a勲章$a0を達成！
MID_はじめての勝利: 【はじめての勝利】
MID_ソフィアの英雄: 【ソフィアの英雄】
MID_聖廟の門番: 【聖廟の門番】
MID_聖地奪還: 【聖地奪還】
MID_終戦: 【終戦】
MID_人類の創世記: 【人類の創世記】
MID_戦術的退却: 【戦術的退却】
MID_戦闘技術: 【戦闘技術】
MID_地の利: 【地の利】
MID_時の歯車: 【時の歯車】
MID_騎士勲章: 【騎士勲章】
MID_将軍勲章: 【将軍勲章】
MID_覇王勲章: 【覇王勲章】
MID_アンダーテイカー: 【アンダーテイカー】
MID_トライアングルアタック: 【トライアングルアタック】
MID_戦神の化身: 【戦神の化身】
MID_女神の化身: 【女神の化身】
MID_匠の業物: 【匠の業物】
MID_アカネイアの神器: 【アカネイアの神器】
MID_強き絆: 【強き絆】
MID_圧倒的成長！: 【圧倒的成長！】
MID_グルメの流儀: 【グルメの流儀】
MID_歴戦の勇士: 【歴戦の勇士】
MID_不滅の軍団: 【不滅の軍団】
MID_命の重み: 【命の重み】
MID_バレンシアの覇王: 【バレンシアの覇王】
MID_ドラゴンスレイヤー: 【ドラゴンスレイヤー】
MID_黄金コレクター: 【黄金コレクター】
MID_絶望の拍動: 【絶望の拍動】
MID_電撃作戦: 【電撃作戦】
MID_謎の遺物: 【謎の遺物】
MID_炎の紋章: 【炎の紋章】
MID_H_はじめての勝利: はじめての戦闘に勝利したため\nこの勲章が授与された
MID_H_ソフィアの英雄: ソフィア城を解放した功績を讃え\nこの勲章が授与された
MID_H_聖廟の門番: 海のほこらのドラゴンゾンビを倒した功績を\n讃え、この勲章が授与された
MID_H_聖地奪還: ミラ神殿をリゲル帝国から解放した\n功績を讃え、この勲章が授与された
MID_H_終戦: リゲル帝国との戦争を終結させた\n功績を讃え、この勲章が授与された
MID_H_人類の創世記: 神々の時代を終わらせ、新しい時代の導き\n手である証として、この勲章が授与された
MID_H_戦術的退却: 自分の置かれた戦況を見極め、冷静に\n退却を行ったため、この勲章が授与された
MID_H_戦闘技術: 戦技を駆使し、戦況を有利に動かしたため\nこの勲章が授与された
MID_H_地の利: 地の利を活かし、戦況を有利に動かした\nため、この勲章が授与された
MID_H_時の歯車: 人智を越えた力を使いこなしたことに対し\nこの勲章が授与された
MID_H_騎士勲章: ソフィア王国内で名前を知れ渡らせた\nことに対し、この勲章が授与された
MID_H_将軍勲章: 名声がバレンシア大陸に響き渡ったため、\nこの勲章が授与された
MID_H_覇王勲章: 名声が大陸の枠を越え、世界中に\n轟きわたったため、この勲章が授与された
MID_H_アンダーテイカー: アンデッド系の敵を数多く倒したことを讃え\nこの勲章が授与された
MID_H_トライアングルアタック: 伝説の戦技、トライアングルアタックを\n使ったことに対し、この勲章が授与された
MID_H_戦神の化身: アルムの奥義を習得し、これを\n使用したことに対し、この勲章が授与された
MID_H_女神の化身: セリカの奥義を習得し、これを\n使用したことに対し、この勲章が授与された
MID_H_匠の業物: 武器を錬成によって強化した事に対し、\nこの勲章が授与された
MID_H_アカネイアの神器: アカネイア王家の３つの神器を揃えた\n偉業を讃え、この勲章が授与された
MID_H_強き絆: 多くの仲間達との強い絆を讃え、\nこの勲章が授与された
MID_H_圧倒的成長！: 非常に稀なほどの成長を\n遂げたことを記念し、この勲章が授与された
MID_H_グルメの流儀: 多くの食べ物を口にしたことを讃え\nこの勲章が授与された
MID_H_歴戦の勇士: 多くの戦闘を行ったことにより\nこの勲章が授与された
MID_H_不滅の軍団: 非常に多くの戦闘を生き抜いたことを讃え\nこの勲章が授与された
MID_H_命の重み: 生命の重みを知り、多くの苦難を乗り越えた\nことを讃え、この勲章が授与された
MID_H_バレンシアの覇王: 極めて困難な状況を乗り切った\nことに対し、この勲章が授与された
MID_H_ドラゴンスレイヤー: ドラゴン系の敵を数多く倒したことを讃え\nこの勲章が授与された
MID_H_黄金コレクター: 数多くの覇者の金貨を収集したことを讃え\nこの勲章が授与された
MID_H_絶望の拍動: 世界に破滅を呼ぶものを封じた功績に対し\nこの勲章が授与された
MID_H_電撃作戦: 非常に素早く戦争を終結させた\n功績に対し、この勲章が授与された
MID_H_謎の遺物: 古代から伝わる謎の遺物を揃えた功績を\n讃え、この勲章が授与された
MID_H_炎の紋章: 真の王者にふさわしいものと認められた\nため、この勲章が授与された
