MESS_ARCHIVE_Fld_拠点_ヌイババの館_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa馆里面静得令人毛骨悚然。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa明明点着灯却很昏暗。\n看来是栋相当老旧的建筑物……$k
MID_ADV調べる_bookshelfA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有许多关于魔道的书籍。$k
MID_ADV調べる_bookshelfB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有许多关于魔道的书籍。$k
MID_ADV調べる_mirror_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa墙上装了一面大镜子。$k
MID_ADV調べる_potA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这是……锅吗？\n不知道是用来做什么的。$k
MID_ADV調べる_potB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这是……锅吗？\n不知道是用来做什么的。$k
MID_ADV調べる_chandelier_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是巨大的吊灯。\n感觉好像快掉下来了……$k
MID_ADV調べる_water_jug_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa水瓶里面装着各种颜色的液体。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是古老的宅邸呢。\n里面全是有历史的摆饰啊。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa既黑暗又寂静呢。\n一个人都没有吗……$k
MID_ADV調べる_bookshelfA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa书架上摆着关于魔道的书籍呢。\n会是屋主的吗？$k
MID_ADV調べる_bookshelfB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa书架上摆着关于魔道的书籍呢。\n会是屋主的吗？$k
MID_ADV調べる_mirror_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是感觉可以映照出全身的大镜子呢。$k
MID_ADV調べる_potA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好大的锅呢。\n是用来煮药草的吗？$k
MID_ADV調べる_potB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好大的锅呢。\n是用来煮药草的吗？$k
MID_ADV調べる_chandelier_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好老旧的吊灯呢。\n感觉会掉下来，有点儿恐怖啊。$k
MID_ADV調べる_water_jug_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa里面装着各种颜色的液体呢。\n会是药品吗？$k
MID_ADV_調べるエリア_bookshelfA: 书架
MID_ADV_調べるエリア_bookshelfB: 书架
MID_ADV_調べるエリア_mirror: 镜子
MID_ADV_調べるエリア_potA: 大锅
MID_ADV_調べるエリア_potB: 大锅
MID_ADV_調べるエリア_chandelier: 吊灯
MID_ADV_調べるエリア_water_jug: 水瓶
