MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明的道具
MIID_無し: －－－－－
MIID_非公開_1: ？
MIID_非公開_2: ？？
MIID_非公開_3: ？？？
MIID_非公開_4: ？？？？
MIID_非公開_5: ？？？？？
MIID_非公開_6: ？？？？？？
MIID_非公開_7: ？？？？？？？
MIID_非公開_8: ？？？？？？？？
MIID_つるぎ: 剑
MIID_鉄の剣: 铁剑
MIID_鋼の剣: 钢剑
MIID_銀の剣: 银剑
MIID_勇者の剣: 勇者之剑
MIID_暗黒の剣: 黑暗之剑
MIID_いかづちの剣: 雷之剑
MIID_聖なる剣: 圣剑
MIID_王家の剣: 王族之剑
MIID_ファルシオン: 法尔西昂
MIID_流星: 流星
MIID_黄金の短剣: 黄金短剑
MIID_ツヴァイハンダー: 双手大剑
MIID_レディソード: 淑女剑
MIID_メリクルソード: 墨丘利剑
MIID_宝剣ソフィア: 索菲亚宝剑
MIID_イルウーン: 伊鲁威
MIID_レイピア: 刺剑
MIID_やり: 枪
MIID_鉄の槍: 铁枪
MIID_鋼の槍: 钢枪
MIID_銀の槍: 银枪
MIID_手やり: 投枪
MIID_聖なる槍: 圣枪
MIID_ナイトキラー: 骑士杀手
MIID_グラディウス: 古拉迪乌斯
MIID_太陽: 太阳
MIID_ドーマの槍: 多玛枪
MIID_皇帝の槍: 皇帝枪
MIID_クリムヒルド: 克里姆希尔特
MIID_ロムファイア: 罗姆菲亚
MIID_サウニオン: 撒乌尼昂
MIID_おの: 斧
MIID_薪割り斧: 劈柴斧
MIID_デビルアクス: 恶魔之斧
MIID_ゆみ: 弓
MIID_鉄の弓: 铁弓
MIID_鋼の弓: 钢弓
MIID_銀の弓: 银弓
MIID_聖なる弓: 圣弓
MIID_月光: 月光
MIID_パルティア: 帕提亚
MIID_ミラの弓: 米拉弓
MIID_長弓: 长弓
MIID_キラーボウ: 必杀弓
MIID_シャイニングボウ: 光之弓
MIID_神剣ファルシオン: 神剑法尔西昂
MIID_裏剣ファルシオン: 里剑法尔西昂
MIID_ラグネル: 拉格内尔
MIID_封印の剣: 封印之剑
MIID_夜刀神: 夜刀神
MIID_錆びた剣: 生锈的剑
MIID_錆びた槍: 生锈的枪
MIID_錆びた弓: 生锈的弓
MIID_錆びた盾: 生锈的盾
MIID_錆びた斧: 生锈的斧
MIID_錆びた指輪: 生锈的戒指
MIID_毒の剣: 毒剑
MIID_毒の槍: 毒枪
MIID_毒の弓: 毒弓
MIID_毒の斧: 毒斧
MIID_爪: 爪
MIID_毒の爪: 毒爪
MIID_麻痺爪: 麻痹爪
MIID_牙: 牙
MIID_鎌: 镰刀
MIID_骨剣: 骨剑
MIID_棍棒: 棍棒
MIID_体当たり: 冲撞
MIID_触手: 触手
MIID_火のブレス: 火之吐息
MIID_水のブレス: 水之吐息
MIID_剛爪: 刚爪
MIID_邪竜のブレス: 邪龙吐息
MIID_革の盾: 革盾
MIID_鉄の盾: 铁盾
MIID_鋼の盾: 钢盾
MIID_リオン家の盾: 利昂家之盾
MIID_フーガ家の盾: 福格家之盾
MIID_銀の盾: 银盾
MIID_聖なる盾: 圣盾
MIID_魔封じの盾: 封魔盾
MIID_竜の盾: 龙盾
MIID_皇帝の盾: 皇帝盾
MIID_ドーマの盾: 多玛盾
MIID_王家の盾: 王族之盾
MIID_賢者の盾: 贤者之盾
MIID_聖なる指輪: 神圣戒指
