BestScore\BestScore.msbt
BestScore_Title	最高得分
BestScore_Sub	解開的線長
BestScore_Record	紀錄
BestScore_PlayCount	遊玩次數
BestScore_cm	cm
BestScore_Level	等級
BestScore_Content	{[0111]}
Catalog\Detail.msbt
Detail_Nui_PokemonName	{[0107]}
Detail_Size_01	尺寸
Detail_Size_02	{[0109]}
Detail_Nui_Possession_Num	擁有的數量
Detail_Nui_Created_Num	製作過的數量
Detail_Recipe	布偶材料單
Detail_Itodama_Create_Num	需要的線團數量
Detail_Itodama_Possession_Num	擁有的線團數量
Detail_Recipe_NoCreate	無法從型錄\n製作{[0107]} 。
Detail_Nui_Create_Button	製作
Detail_Nui_Create_01	要製作{[0107]}嗎？
Detail_Nui_Create_01_OK	製作
Detail_Nui_Create_01_Quit	還是算了
Detail_Nui_Create_02	要製作{[0107]}嗎？\n（會使用「稍好的線團」。）
Detail_Nui_Create_02_OK	製作
Detail_Nui_Create_02_Quit	還是算了
Detail_Nui_Create_OK	OK
OgerponMidoriNoMen_Discription	雖然手上拿著可怕的面具，\n臉蛋卻十分可愛。\n說不定厄鬼椪其實是個害羞鬼。
Eievui_Discription	圓滾滾的雙眼、鬆軟軟的毛皮……\n不論在什麼時代都是無敵可愛的伊布，\n一定也會讓大家深深著迷！
Wooluu_Discription	順著毛辮羊的身體輕～輕地撫摸，\n毛茸茸的、軟乎乎的……好舒服啊。\n這觸感再重要不過了。
Metamon_Discription	百變怪的表情和令人捉摸不定的樣子，\n就好像是在告訴大家\n「我想變成什麼，就能變成什麼」。
Kuwassu_Discription	潤水鴨的頭看起來濕濕的。\n試著搖一搖，就會像果凍般\n彈性十足地晃來晃去也說不定。
Koduck_Discription	好像在煩惱著什麼，\n又好像什麼都沒在想……\n這樣的可達鴨，真是我的理想。
Zenigame_Discription	雙腳和尾巴支撐著\n傑尼龜這結實的體型。\n不論擺哪裡，都是安定又穩重。
Messon_Discription	淚眼蜥的眼神，看起來像是快要哭了。\n為了別讓眼淚掉下來，\n要輕～輕地、柔～柔地擺放。
Pamo_Discription	雖然布撥的頭跟身體都圓滾滾的，\n但是會「啪滋！」地釋放靜電，\n小心不要摸過頭了。
Pikachu_Discription	第一個製作的布偶。\n雙頰那圓圓紅紅的電囊，\n讓我也好想貼上臉去蹭一蹭。
Prasle_Discription	街上有一個傳聞說，\n正電拍拍是加油打氣的好夥伴，\n只要抱緊牠就會勇氣百倍！
Minun_Discription	街上有一個傳聞說，\n負電拍拍是加油打氣的好夥伴，\n只要抱緊牠就會自信百倍！
Sarunori_Discription	插在頭上的木棒據說是\n敲出開心節奏的必備品。\n木棒可以拿下來。
Nyahoja_Discription	乖巧可愛地端坐著，\n露出的後腳掌肉球是\n吸引大家視線的魅力亮點。
Fushigidane_Discription	4隻腳穩穩踏著地面的妙蛙種子。\n要擺放在狹窄的地方，\n似乎比想像中還要難？
Watacco_Discription	擁有3團圓滾滾的飽滿棉毛。\n可別就這麼一臉得意洋洋地\n飛到了哪兒去喔。
Hitokage_Discription	尾巴上的火焰是活力的判斷指標。\n因為希望它是隻特別活潑的小火龍，\n所以對火焰的形狀特別講究了一番。
Hibanny_Discription	盯著炎兔兒看著看著……\n總覺得自己的脖子也越來越歪……\n啊！布偶倒下去了。
Hogator_Discription	不管是晴天還是雨天，\n這表情都讓人想打聲招呼說，\n今天天氣真好！
Lizardon_Discription	長長的脖子、有力的手腳，\n以及震撼力十足的翅膀，\n所有帥氣要素集結於一身。
Rayquaza_Discription	看著布偶，忍不住想像烈空坐\n長長的身體綻放著翠綠光輝，\n在空中扭動飛舞的模樣。
Zeraora_Discription	以閃電般的速度大展身手的\n幻之戰士捷拉奧拉。\n就連坐姿也是無懈可擊。
Mimirol_Discription	伸長捲成團的耳朵像拳頭般出擊！\n如果有那樣的機關應該很好玩！？\n……不，還是算了吧。
Mimilop_Discription	因為有一對強而有力的\n長耳朵紮實地支撐著身體，\n看似苗條卻是穩定性十足。
Kabigon_Discription	不論是誰應該都曾經閃過\n想和卡比獸一起睡覺的念頭。\n來，盡情實現夢想吧！
Eneco_Discription	向尾喵尾巴的魅力，\n是任何寶可夢都比不過的。\n這真是讓人移不開視線的漂亮尾巴。
Yadon_Discription	直直盯～著呆呆獸看之後，\n再悄悄瞄一眼鏡子，你看，\n表情是不是一模一樣呢？
Namakobushi_Discription	這形狀讓人忍不住想捏一捏。\n雖然可以理解，不過捏過之後\n要好好幫拳海參整理形狀喔。
Showers_Discription	這不是防舔頸圈，\n是水伊布氣派的頸褶呢。\n真好奇會不會擋到了視野？
Ashimari_Discription	球球海獅會操縱水做的氣球。\n把它擺放在圓圓的布偶上，\n彷彿就是表演就要開始了。
Wanpachi_Discription	某天有隻電電蟲緊貼在\n它帶電的可愛屁股上。\n也許錯以為是真的來電汪了？
