CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	老婆……\n艾德……！艾德娜……
C01_EV1000_00020_RODN	他一直想跑出去，我費了一番力氣才擋住他。
C01_EV1000_00030_RODN	畢竟……他還沒把錢付清呢。
C01_EV1000_00040_RODN	我想應該能在這裡躲一陣子……
C01_EV1000_00050_RODN	但大概也撐不久吧。
C01_EV1000_00060_BAYO	那些朋友不是你叫來的嗎？
C01_EV1000_00070_RODN	你開玩笑吧？\n我跟它們打過照面，肯定了一件事。
C01_EV1000_00080_RODN	它們跟天界或魔界的傢伙們不一樣。\n是「混沌界」的居民。
C01_EV1000_00090_RODN	也就是說，是你們……人類的朋友。
C01_EV1000_00100_JANN	人類的？
C01_EV1000_00110_GIRL	它們叫做赫姆庫魯斯。
C01_EV1000_00115_GIRL	是人類製造的生物武器。
C01_EV1000_00120_RODN	我也才剛遇到這位小姐不久，她叫做——
C01_EV1000_00130_GIRL	薇歐拉。
C01_EV1000_00135_GIRL	我是你的……
C01_EV1000_00140_GIRL	算了，我們沒時間閒聊了。
C01_EV1000_00150_GIRL	再這樣下去世界將會消滅，不論城市還是人們……\n一切都會灰飛煙滅。
C01_EV1000_00160_BAYO	那麼是你把那些傢伙帶來的嗎？
C01_EV1000_00170_GIRL	不是！
C01_EV1000_00180_GIRL	那群傢伙就像蝗蟲一樣，不斷侵略多重宇宙——
C01_EV1000_00190_GIRL	把世界一個接一個地消滅掉。
C01_EV1000_00200_GIRL	拜託，相信我。真的沒有時間了！
C01_EV1000_00210_GIRL	蓓優妮塔……貞德。\n我非常需要你們！
C01_EV1000_00220_JANN	你為什麼知道我們的名字？\n而且你似乎也懂一些魔導術。
C01_EV1000_00230_GIRL	那是因為……
C01_EV1000_00240_GIRL	我在原本的世界裡，就已經認識你們了。
C01_EV1000_00250_GIRL	那是無數多重宇宙裡的其中一個世界……
C01_EV1000_00260_GIRL	但是，那個世界也早已滅亡。
C01_EV1000_00270_GIRL	你，還有你，一切都消失了！
C01_EV1000_00280_GIRL	那些傢伙的侵略行為越來越激烈。\n剩下的多重宇宙已經不多了……！
C01_EV1000_00290_JANN	多重宇宙……？
C01_EV1000_00300_JANN	如果你說的都是實話，它們的目的究竟是什麼？
C01_EV1000_00310_RODN	這我可不能裝作沒聽見。
C01_EV1000_00320_RODN	小姐說的如果都是真的，那就不只是人類的問題了。
C01_EV1000_00330_RODN	就算在三位一體的世界中，我們所在的「混沌界」，\n也是由無數宇宙交疊組成的多層結構。
C01_EV1000_00340_RODN	這就是「多重宇宙」。
C01_EV1000_00350_RODN	要是它們正一個個毀滅這些宇宙……\n不，用毀滅不夠精確。
C01_EV1000_00360_RODN	正確來說它們是試圖分解多重宇宙……\n然後統合為一。
C01_EV1000_00370_RODN	就像是把薄片火腿細細切碎……\n再揉成一塊大肉餅一樣。
C01_EV1000_00380_RODN	如果它們得逞，就能獲得強大的力量，\n不管魔界或天界都能瞬間抹滅啊。
C01_EV1000_00390_BAYO	你真是學識淵博呢。
C01_EV1000_00400_BAYO	那你要我們怎麼做？
C01_EV1000_00410_GIRL	我簡單說明。有兩個任務。
C01_EV1000_00420_GIRL	貞德，請你在這個世界尋找我們的幫手，\n一位名叫「西格魯茲」的科學家。
C01_EV1000_00430_GIRL	至於蓓優妮塔，\n麻煩你和我一起蒐集跟這個相同的物品。
C01_EV1000_00440_GIRL	這個「混沌的齒輪」，是打倒辛裘拉利提的關鍵。
C01_EV1000_00450_GIRL	而知道使用方式的唯一幫手，就是西格魯茲博士。
C01_EV1000_00460_GIRL	兩者缺一不可，否則這個世界就會滅亡。
C01_EV1000_00470_BAYO	反正我待在這種沉悶的地方，\n也只能玩玩牌——
C01_EV1000_00480_BAYO	我就陪你去吧。\n只要能讓這場無聊的鬧劇結束就好。
C01_EV1000_00490_BAYO	至於詳細內容，路上再說給我聽聽吧。
C01_EV1000_00500_GIRL	我、我知道了……
C01_EV1000_00510_RODN	話說回來——
C01_EV1000_00515_RODN	這傢伙到底是什麼？
C01_EV1000_00530_GIRL	咦？哇，真是的！小柴貓！！\n不是跟你說了，不可以擅自跑出來嗎！？
C01_EV1000_00580_BAYO	小柴貓……
C01_EV1010_00010_GIRL	侵略者「辛裘拉利提」。
C01_EV1010_00020_GIRL	他比任何人都更先解析出多重宇宙的構造。
C01_EV1010_00030_GIRL	接著，他將自己所在的宇宙命名為「阿爾法宇宙」，\n開始消滅其他宇宙。
C01_EV1010_00040_GIRL	阻止他的方法只有一個……\n就是直接攻入阿爾法宇宙。
C01_EV1010_00050_GIRL	但是我們無法在多重宇宙之間自由來回。
C01_EV1010_00060_GIRL	除非透過一個連繫所有多重宇宙的地方。
C01_EV1010_00070_GIRL	也就是從前研究如何與未知世界交流的魔女與賢者們\n所創造的傳說之島——
C01_EV1010_00080_GIRL	遠海孤島「圖勒」！
C01_EV1010_00090_BAYO	我說啊，連地圖上都沒記載的島嶼真的存在嗎？
C01_EV1010_00100_BOS1	只要相信，路就會為你而開……
C01_EV1010_00110_BAYO	只要相信，路就會為我而開……？
C01_EV1010_00160_GIRL	快看，真的有島！
C01_EV1010_00170_BAYO	原來如此。\n看來有人關注著我們的一舉一動喔？
C01_EV1010_00180_GIRL	難道……是那傢伙？
C01_EV1010_00190_GIRL	我們快降落吧。再這樣下去就危險了。
C01_EV1010_00200_BAYO	那是？
C01_EVa100_00010_ANNO	請注意，車門即將關閉。
C01_EVa101_00010_ANNO	現在開始車身將會搖晃，請注意安全。\n站立的乘客請抓穩吊環或扶手。
C01_EVa120_00010_BAYO	難不成那就是「混沌的齒輪」？
C01_EVa120_00020_BAYO	真是個貪吃鬼呢。\n讓我來幫你減減肥吧。
C01_EVa121_00010_SDF1	報告HQ，已接近敵方，距離50公尺。
C01_EVa121_00020_SDF1	目標正持續往東北方向移動。請回答。
C01_EVa121_00030_SDF1	這裡是本部，收到。
C01_EVa121_00040_SDF1	開始作戰。
C01_EVa121_00050_SDF1	收到。
C01_EVa121_00060_SDF1	準備射擊！
C01_EVa121_00070_SDF1	發射！
C01_EVa121_00080_SDF1	準備發射反戰車炮！
C01_EVa121_00090_SDF1	發射！
C01_EVa121_00100_SDF1	報告HQ，目標毫髮無傷。\n武器沒有效果。
C01_EVa121_00110_SDF1	重覆一次，武器沒有效果。
C01_EVa121_00120_SDF2	嗯？
C01_EVa121_00140_BAYO	這惡作劇太過火了唷。
C01_EVa121_00150_BAYO	好吧，就讓我來阻止你。
