MESS_ARCHIVE_Decoration


Message Name: Message


MID_勲章取得: $a獲得勛章$a0！
MID_はじめての勝利: 【初次勝利】
MID_ソフィアの英雄: 【索菲亞的英雄】
MID_聖廟の門番: 【聖廟的守衛】
MID_聖地奪還: 【奪回聖地】
MID_終戦: 【終戰】
MID_人類の創世記: 【人類的創世紀】
MID_戦術的退却: 【戰術性撤退】
MID_戦闘技術: 【戰鬥技術】
MID_地の利: 【地利】
MID_時の歯車: 【時間齒輪】
MID_騎士勲章: 【騎士勛章】
MID_将軍勲章: 【將軍勛章】
MID_覇王勲章: 【霸王勛章】
MID_アンダーテイカー: 【送葬者】
MID_トライアングルアタック: 【三角攻陣】
MID_戦神の化身: 【戰神的化身】
MID_女神の化身: 【女神的化身】
MID_匠の業物: 【名匠的利刃】
MID_アカネイアの神器: 【阿卡奈亞的神器】
MID_強き絆: 【深厚情誼】
MID_圧倒的成長！: 【壓倒性成長！】
MID_グルメの流儀: 【美食家的作風】
MID_歴戦の勇士: 【身經百戰的勇士】
MID_不滅の軍団: 【不滅的軍團】
MID_命の重み: 【生命的重量】
MID_バレンシアの覇王: 【瓦倫西亞的霸王】
MID_ドラゴンスレイヤー: 【屠龍者】
MID_黄金コレクター: 【黃金收藏家】
MID_絶望の拍動: 【絕望的脈動】
MID_電撃作戦: 【電擊作戰】
MID_謎の遺物: 【神秘遺物】
MID_炎の紋章: 【火焰紋章】
MID_H_はじめての勝利: 初次戰鬥勝利，\n因此獲頒這枚勛章
MID_H_ソフィアの英雄: 解放了索菲亞城堡，\n為表彰功績而獲頒這枚勛章
MID_H_聖廟の門番: 打倒了海的祠堂的龍殭屍，\n為表彰功績而獲頒這枚勛章
MID_H_聖地奪還: 從利蓋爾帝國掌控中解放了美拉神殿，\n為表彰功績而獲頒這枚勛章
MID_H_終戦: 終結了與利蓋爾帝國的戰爭，\n為表彰功績而獲頒這枚勛章
MID_H_人類の創世記: 終結了神祇的時代，引領世界走向新時代，\n獲頒這枚勛章為證
MID_H_戦術的退却: 認清自己身處的戰場情況，冷靜地撤退了，\n因此獲頒這枚勛章
MID_H_戦闘技術: 自在使用戰技，促使戰況變得有利，\n因此獲頒這枚勛章
MID_H_地の利: 活用地利，促使戰況變得有利，\n因此獲頒這枚勛章
MID_H_時の歯車: 徹底活用了超越人類智慧的力量，\n為此獲頒這枚勛章
MID_H_騎士勲章: 在索菲亞王國裡變得家喻戶曉，\n為此獲頒這枚勛章
MID_H_将軍勲章: 在瓦倫西亞陸地上聲名遠播，\n因此獲頒這枚勛章
MID_H_覇王勲章: 超越了陸地的界線，在世界上聲名大噪，\n因此獲頒這枚勛章
MID_H_アンダーテイカー: 打倒眾多不死族的敵人，\n為表彰此事而獲頒這枚勛章
MID_H_トライアングルアタック: 使用了傳說中的戰技三角攻陣，\n為此獲頒這枚勛章
MID_H_戦神の化身: 學會並使用了阿雷武的奧義，\n為此獲頒這枚勛章
MID_H_女神の化身: 學會並使用了賽莉卡的奧義，\n為此獲頒這枚勛章
MID_H_匠の業物: 藉由鍊成而強化武器，\n為此獲頒這枚勛章
MID_H_アカネイアの神器: 集齊了阿卡奈亞王族的３樣神器，\n為表彰偉業而獲頒這枚勛章
MID_H_強き絆: 和許多夥伴締結深厚情誼，\n為表彰此事而獲頒這枚勛章
MID_H_圧倒的成長！: 完成了非常稀有的成長，\n獲頒這枚勛章作為紀念
MID_H_グルメの流儀: 食用了許多食物，\n為表彰此事而獲頒這枚勛章
MID_H_歴戦の勇士: 進行了許多場戰鬥，\n因此獲頒這枚勛章
MID_H_不滅の軍団: 在無數的戰鬥中存活了下來，\n為表彰此事而獲頒這枚勛章
MID_H_命の重み: 理解生命的重量，跨越了重重苦難，\n為表彰此事而獲頒這枚勛章
MID_H_バレンシアの覇王: 克服了極其困難的狀況，\n為此獲頒這枚勛章
MID_H_ドラゴンスレイヤー: 打倒了眾多龍族的敵人，\n為表彰此事而獲頒這枚勛章
MID_H_黄金コレクター: 從為數眾多的霸者身上收集了金幣，\n為表彰此事而獲頒這枚勛章
MID_H_絶望の拍動: 封印了會毀滅世界的對手，\n因為此份功績而獲頒這枚勛章
MID_H_電撃作戦: 非常快速地終結了戰爭，\n因為此份功績而獲頒這枚勛章
MID_H_謎の遺物: 集齊了自古代流傳下來的神秘遺物，\n為表彰功績而獲頒這枚勛章
MID_H_炎の紋章: 受認可為名符其實的真正王者，\n因此獲頒這枚勛章
