common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
AVATARCLOTHES0000001	黑色T恤
AVATARCLOTHES0000002	紅色T恤
AVATARCLOTHES0000003	藍色T恤
AVATARCLOTHES0000004	兔子服裝
AVATARCLOTHES0000005	綠色T恤
AVATARCLOTHES0000006	黃色T恤
AVATARCLOTHES0000007	熊服裝
AVATARCLOTHES0000008	粉紅色T恤
AVATARCLOTHES0000009	灰色T恤
AVATARCLOTHES0000010	和服
AVATARCLOTHES0000011	白袍
AVATARCLOTHES0000012	深藍色西裝
AVATARCLOTHES0000013	灰色西裝
AVATARCLOTHES0000014	大象服裝
AVATARCLOTHES0000015	領結西裝
AVATARCLOTHES0000016	綠色洋裝
AVATARCLOTHES0000017	睡衣
AVATARCLOTHES0000018	坦克背心
AVATARCLOTHES0000019	棒球服裝
AVATARCLOTHES0000020	足球服裝
AVATARCLOTHES0000021	籃球服裝
AVATARCLOTHES0000022	美式足球服裝
AVATARCLOTHES0000023	忍者服裝
AVATARCLOTHES0000024	柔道服
AVATARCLOTHES0000025	消防員服裝
AVATARCLOTHES0000026	圍裙服裝
AVATARCLOTHES0000027	單車服裝
AVATARCLOTHES0000028	廚師服裝
AVATARCLOTHES0000029	偵探服裝
AVATARCLOTHES0000030	連帽上衣
AVATARCLOTHES0000031	條紋服裝
AVATARCLOTHES0000032	迷彩服裝
AVATARCLOTHES0000033	夏威夷襯衫
AVATARCLOTHES0000034	運動服
AVATARCLOTHES0000035	太空裝
AVATARCLOTHES0000036	學士服
AVATARCLOTHES0000037	機師服裝
AVATARCLOTHES0000038	尖刺服裝
AVATARCLOTHES0000039	國王服裝
AVATARCLOTHES0000040	皇后服裝
AVATARCLOTHES0000041	Polo衫
AVATARCLOTHES0000042	漁夫背心
AVATARCLOTHES0000043	水手服裝
AVATARCLOTHES0000044	探險服裝
AVATARCLOTHES0000045	魔法洋裝
AVATARCLOTHES0000046	破爛服裝
AVATARCLOTHES0000047	海盜服裝
AVATARCLOTHES0000048	鐵盔甲
AVATARCLOTHES0000049	蜜蜂服裝
AVATARCLOTHES0000050	毛衣背心制服
AVATARCLOTHES0000051	風衣
AVATARCLOTHES0000052	肌肉服裝
AVATARCLOTHES0000053	白色洋裝
AVATARCLOTHES0000054	白色西裝
AVATARCLOTHES0000055	啦啦隊服裝
AVATARCLOTHES0000056	小丑服裝
AVATARCLOTHES0000057	維京人服裝
AVATARCLOTHES0000058	武士盔甲
AVATARCLOTHES0000059	吊帶褲
AVATARCLOTHES0000060	燕尾服
AVATARCLOTHES0000061	鮮豔西裝
AVATARCLOTHES0000062	黑色大衣
AVATARCLOTHES0000063	青蛙服裝
AVATARCLOTHES0000064	魔法師服裝
AVATARCLOTHES0000065	吸血鬼服裝
AVATARCLOTHES0000066	偶像服裝
AVATARCLOTHES0000067	西部牛仔服裝
AVATARCLOTHES0000068	古希臘服裝
AVATARCLOTHES0000069	芭蕾服裝
AVATARCLOTHES0000070	豹紋服裝
AVATARCLOTHES0000071	藝術服裝
AVATARCLOTHES0000072	愛麗絲服裝
AVATARCLOTHES0000073	小紅帽服裝
AVATARCLOTHES0000074	睡袍
AVATARCLOTHES0000075	舞台服裝
AVATARCLOTHES0000076	佛朗明哥服裝
AVATARCLOTHES0000077	草裙舞服裝
AVATARCLOTHES0000078	度假泳裝
AVATARCLOTHES0000079	樹葉服裝
AVATARCLOTHES0000080	粗野服裝
AVATARCLOTHES0000081	草莓服裝
AVATARCLOTHES0000082	橘子服裝
AVATARCLOTHES0000083	乳牛服裝
AVATARCLOTHES0000084	馴鹿服裝
AVATARCLOTHES0000085	蛋殼服裝
AVATARCLOTHES0000086	跑者服裝
AVATARCLOTHES0000087	工作人員服裝
AVATARCLOTHES0000088	街頭服裝
AVATARCLOTHES0000089	刺繡飛行外套
AVATARCLOTHES0000090	黑色洋裝
AVATARCLOTHES0000091	戶外服裝
AVATARCLOTHES0000092	職業玩家服裝
AVATARCLOTHES0000093	三色貓服裝
AVATARCLOTHES0000094	華麗服裝
AVATARCLOTHES0000095	殭屍服裝
AVATARCLOTHES0000096	UFO服裝
AVATARCLOTHES0000097	燈籠魚服裝
AVATARCLOTHES0000098	熊貓服裝
AVATARCLOTHES0000099	橄欖球服裝
AVATARCLOTHES0000100	摔角選手服裝
AVATARCLOTHES0000101	飛行外套
AVATARCLOTHES0000102	中式服裝
AVATARCLOTHES0000103	龍服裝
AVATARCLOTHES0000104	甜筒餅乾服裝
AVATARCLOTHES0000105	花紋連身裙
AVATARCLOTHES0000106	聖誕老人服裝
AVATARCLOTHES0000107	蝙蝠服裝
AVATARCLOTHES0000108	求生服裝
AVATARCLOTHES0000109	護士服
AVATARCLOTHES0000110	斗篷
AVATARCLOTHES0000111	天狗服裝
AVATARCLOTHES0000112	森林服裝
AVATARCLOTHES0000113	旅行服裝
AVATARCLOTHES0000114	蓑衣
AVATARCLOTHES0000115	胡桃鉗服裝
AVATARCLOTHES0000116	人魚服裝
AVATARCLOTHES0000117	紗麗服裝
AVATARCLOTHES0000118	鯊魚服裝
AVATARCLOTHES0000119	狗服裝
AVATARCLOTHES0000120	辦公室服裝
