MESS_ARCHIVE_MainMenu


Message Name: Message


MID_メインメニュー_中断から: 從中斷處開始
MID_メインメニュー_中断から_説明: 從上次中斷遊戲的地方\n開始遊戲
MID_メインメニュー_続きから: 繼續開始
MID_メインメニュー_続きから_説明: 繼續開始\n遊戲
MID_メインメニュー_最初から: 重新開始
MID_メインメニュー_最初から_説明: 從頭開始\n新遊戲
MID_メインメニュー_複製: 複製資料
MID_メインメニュー_複製_説明: 執行儲存資料的\n複製
MID_メインメニュー_削除: 刪除資料
MID_メインメニュー_削除_説明: 執行儲存資料的\n刪除
MID_メインメニュー_記録: 記錄
MID_メインメニュー_エクストラ: 特別項目
MID_メインメニュー_エクストラ_説明: 進行\n其他設定
MID_メインメニュー_サウンドテスト: 音樂鑑賞
MID_メインメニュー_サウンドテスト_説明: 可以聆聽\n音樂
MID_メインメニュー_ムービー回想: 影片回顧
MID_メインメニュー_ムービー回想_説明: 可以觀賞\n影片
MID_メインメニュー_DLC: 新增內容
MID_メインメニュー_DLC_説明: 管理\n新增內容
MID_メインメニュー_いつの間に通信設定: 悄悄通訊
MID_メインメニュー_いつの間に通信設定_説明: 開啟或關閉\n悄悄通訊
MID_メインメニュー_言語設定: 語言設定
MID_メインメニュー_言語設定_説明: 選擇\n想使用的語言
MID_メインメニュー_字幕表示: 字幕顯示
MID_メインメニュー_字幕表示_説明: 開啟/關閉\n字幕顯示
MID_メインメニュー_全データ削除: 刪除所有資料
MID_メインメニュー_全データ削除_説明: 刪除\n所有的資料
MID_メインメニュー_ノーマル_説明: 適合新手玩家和中階玩家
MID_メインメニュー_ハード_説明: 適合高階玩家
MID_メインメニュー_ルナティック_説明: 適合追求\n最高難度的玩家
MID_メインメニュー_カジュアル_説明: 戰鬥結束後，陣亡的夥伴\n會復活的簡單模式
MID_メインメニュー_クラシック_説明: 陣亡的夥伴不會再回來，\n需要三思的模式
MID_メインメニュー_全データ削除_確認: 所有的資料將會消失，\n是否確認刪除？
MID_メインメニュー_全データ削除_再確認: 所有的資料\n真的都會消失不見，\n是否確認刪除？
MID_メインメニュー_全データ削除_終了: 已刪除所有的資料
MID_メインメニュー_言語設定_日本語: 日文
MID_メインメニュー_言語設定_繁体字: 繁體中文
MID_メインメニュー_言語設定_簡体字: 簡體中文
MID_メインメニュー_言語設定_英語: 英文
MID_メインメニュー_言語設定_スペイン語: 西班牙文
MID_メインメニュー_言語設定_フランス語: 法文
MID_メインメニュー_言語設定_イタリア語: 義大利文
MID_メインメニュー_言語設定_ドイツ語: 德文
MID_メインメニュー_言語設定_オランダ語: 荷蘭文
MID_メインメニュー_言語設定_下帯説明: 請選擇想設定的語言
MID_メインメニュー_言語設定_確認: 設定語言後將回到標題畫面\n是否確認？
MID_メインメニュー_字幕表示_オン_確認: 已關閉字幕顯示。\n要開啟字幕顯示嗎？
MID_メインメニュー_字幕表示_オフ_確認: 已開啟字幕顯示。\n要關閉字幕顯示嗎？
MID_ファイルメニュー_データ無し: No Data
MID_ファイルメニュー_データ破損: 資料已毀損
MID_ファイルメニュー_ターン: 回合數
MID_ファイルメニュー_記録確認: 要儲存資料嗎？
MID_ファイルメニュー_複製確認: 要複製資料嗎？
MID_ファイルメニュー_削除確認: 真的可以刪除資料嗎？
MID_ファイルメニュー_中断削除確認: 中斷資料將會消失，\n是否確認？
MID_ファイルメニュー_記録無し確認_次へ: 不儲存資料就\n前進嗎？
MID_ファイルメニュー_記録無し確認_メインメニューへ: 不儲存資料就\n回到主選單嗎？
MID_ファイルメニュー_記録無し確認_ゲームクリア: 即將返回標題畫面，\n之後無法儲存遊戲破關的資料。\n不儲存就結束嗎？
